Nodes,X,Y,Delivery demands,Picku up demands,Time windows left D,Time windows right D,Time windows left P,Time windows right P,Known time,DCs,PCs
1,2.277,7.84,0,0,0,1000,0,0,0,1000,0
2,32.883,-1.779,0,0,0,1000,0,0,0,2000,0
3,-49.554,-17.828,0,0,0,0,0,1000,0,0,1000
4,3.69,-26.099,0,0,0,0,0,1000,0,0,2000
5,-66.174,-37.811,13,0,94,327,0,0,0,1,0
6,2.673,-35.223,16,0,206,531,0,0,0,1,0
7,38.751,8.618,1,0,294,651,0,0,0,1,0
8,62.653,20.667,9,0,261,563,0,0,0,1,0
9,60.974,-6.11,20,0,85,406,0,0,0,1,0
10,-98.535,-39.532,2,0,87,309,0,0,0,1,0
11,8.411,-81.274,5,0,104,439,0,0,0,2,0
12,-14.569,26.056,10,0,226,449,0,0,0,2,0
13,-34.186,-76.697,10,0,270,551,0,0,0,2,0
14,55.145,-33.911,25,0,268,599,0,0,0,2,0
15,15.869,8.716,2,0,127,351,0,0,0,2,0
16,-63.416,-20.282,5,0,139,340,0,0,0,2,0
17,-9.357,-42.212,16,0,126,481,0,0,0,2,0
18,-53.619,3.729,0,20,0,0,243,563,0,0,1
19,53.491,-3.308,0,19,0,0,256,508,0,0,1
20,-22.614,-32.794,0,20,0,0,155,423,0,0,1
21,39.612,-1.55,0,4,0,0,298,478,0,0,1
22,16.705,-22.748,0,3,0,0,234,577,0,0,1
23,-51.245,-13.757,0,2,0,0,218,552,0,0,1
24,-29.907,14.38,0,23,0,0,164,417,0,0,2
25,-70.441,-27.911,0,6,0,0,276,592,0,0,2
26,-75.385,-30.811,0,17,0,0,291,642,0,0,2
27,10.59,-28.931,0,17,0,0,69,277,0,0,2
28,86.34,-45.935,0,3,0,0,181,429,0,0,2
29,3.864,34.583,0,16,0,0,81,286,0,0,2
30,-37.598,-42.114,0,15,0,0,121,406,0,0,2
31,69.44,1.379,16,0,128,405,0,0,0,1,0
32,-13.818,1.245,8,0,186,537,0,0,0,1,0
33,-27.124,-38.037,13,0,72,335,0,0,0,1,0
34,-69.348,-14.734,25,0,178,512,0,0,0,1,0
35,58.575,29.346,16,0,180,433,0,0,0,2,0
36,58.105,31.702,2,0,144,430,0,0,0,2,0
37,-62.25,-16.425,12,0,113,400,0,0,0,2,0
38,-66.382,13.586,12,0,226,465,0,0,0,2,0
39,68.03,-12.482,14,0,66,411,0,0,0,2,0
40,-30.701,-41.681,16,0,173,357,0,0,0,1,0
41,-55.389,-51.05,9,0,283,573,0,0,0,1,0
42,36.237,-2.655,16,0,261,489,0,0,0,1,0
43,-1.215,5.591,0,20,0,0,219,575,0,0,1
44,10.278,-23.95,0,25,0,0,226,459,0,0,1
45,-7.159,36.859,0,18,0,0,63,391,0,0,1
46,-90.204,61.169,0,4,0,0,218,419,0,0,2
47,46.368,65.082,0,10,0,0,72,352,0,0,2
48,13.348,31.372,0,17,0,0,291,473,182,0,5
49,-73.566,-28.839,0,7,0,0,281,545,222,0,5
50,-41.528,-37.097,0,4,0,0,218,399,84,0,4
51,-60.938,-27.246,0,3,0,0,214,527,156,0,4
52,38.312,54.376,0,12,0,0,230,555,100,0,4
